Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,72.0,19.0,0.0,79.12087912087912,20.87912087912088,0.0,0.6572164948453607,0.05416350547465263,0.16846828557191607,47.84964504843063,71.13828249290779,174.99534992373637,3299.0234464081395,-3124.0280964844032,1.9230258233377624,36.25300490558395,-34.32997908224619,87.42980395472816,0.9607670764255841,49.96121553677306,0.972972972972973,36.0,0.3333333333333333,18.0,0.6666666666666666,36.0,0.02702702702702703,1.0,0.6666666666666666,0.972972972972973,0.7912087912087912,0.6396396396396397,0.8415915915915916,0.6866536878745536,0.7912087912087912,0.13630683042447747,0.8636931695755224,0.2087912087912088,NaN,0.7912087912087912,NaN,NaN,0.8703860445459701,0.7043886513058899,NaN,0.7912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,46590.0,171047.0,51257.0,95.6043956043956,23.260073260073263,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,72.0,19.0,0.0,79.12087912087912,20.87912087912088,0.0,0.6530898876404494,0.05517436373941809,0.16634559847803138,48.690399791050616,70.15659117643449,179.27857109173374,91.18218242089071,88.09638867084303,1.97009418782125,1.0020020046251727,0.9680921831960773,88.16911352408911,0.9688913574075727,49.17995106005977,1.0,37.0,0.35185185185185186,19.0,0.6481481481481481,35.0,0.0,0.0,0.6607142857142857,1.0,0.7956989247311829,0.654401054966097,0.8198198198198198,0.6769255519255518,0.7912087912087912,0.14306064306064306,0.856939356939357,0.2087912087912088,NaN,0.7912087912087912,NaN,NaN,0.8686805137616496,0.6953245268839063,NaN,0.7912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,41726.0,171047.0,51257.0,97.8021978021978,23.99267399267398,'Number of leaves: 9\nSize of the tree: 10\n',10.0,9.0,9.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,73.0,18.0,0.0,80.21978021978022,19.78021978021978,0.0,0.6733147187873953,0.05269424724423529,0.16084401988194313,46.4963017469778,67.8274157494885,181.27857109173374,1153.921344244922,-972.6427731531883,1.9920722097992718,12.68045433236178,-10.688382122562508,92.65851378299148,1.0182254261867196,51.113881373272086,1.0,37.0,0.3333333333333333,18.0,0.6666666666666666,36.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564,0.6696901137726676,0.8608608608608609,0.7452088452088452,0.8021978021978022,0.13553113553113552,0.8644688644688644,0.1978021978021978,NaN,0.8021978021978022,NaN,NaN,0.8970252085508531,0.7260361138142382,NaN,0.8021978021978022,0.016,0.0,0.015625,0.0,15.625,0.0,46590.0,171047.0,51257.0,97.8021978021978,23.260073260073252,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,71.0,20.0,0.0,78.02197802197803,21.978021978021978,0.0,0.6371610845295055,0.05704250997449359,0.17097387608549494,50.10164058639916,71.72490646332298,184.13501919397737,2231.073668828749,-2046.9386496347715,2.0234617493843667,24.517293064052186,-22.49383131466782,84.24714119055712,0.9257927603357925,45.75291628900139,1.0,37.0,0.37037037037037035,20.0,0.6296296296296297,34.0,0.0,0.0,0.6491228070175439,1.0,0.7872340425531915,0.6393019259838044,0.7917917917917918,0.6337172266194139,0.7802197802197802,0.15059015059015057,0.8494098494098495,0.21978021978021978,NaN,0.7802197802197802,NaN,NaN,0.850872217302743,0.6605754207275957,NaN,0.7802197802197802,0.016,0.0,0.015625,0.0,15.625,0.0,46590.0,171047.0,51257.0,97.8021978021978,23.992673992673986,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,70.0,21.0,0.0,76.92307692307692,23.076923076923077,0.0,0.6212841854934603,0.057251333961495496,0.17345364786907944,50.2889584636669,72.7714707741254,183.7199816946985,3302.7555731159528,-3119.035591421254,2.0189008977439395,36.29401728698849,-34.27511638924455,84.54336505106149,0.9290479675940823,46.01751223312968,0.972972972972973,36.0,0.37037037037037035,20.0,0.6296296296296297,34.0,0.02702702702702703,1.0,0.6428571428571429,0.972972972972973,0.7741935483870968,0.6084161159684794,0.8418418418418419,0.7160228858342066,0.7692307692307693,0.15150590150590149,0.8484940984940986,0.23076923076923078,NaN,0.7692307692307693,NaN,NaN,0.8533589384869432,0.6895417320270474,NaN,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,46590.0,171047.0,51257.0,96.7032967032967,23.8095238095238,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,69.0,22.0,0.0,75.82417582417582,24.175824175824175,0.0,0.6035643564356435,0.0596463188894005,0.17714991964265853,52.392687568765595,74.32222013367338,183.7199816946985,3309.948674357749,-3126.2286926630504,2.0189008977439395,36.37306235557966,-34.354161457835716,84.23230573565183,0.9256297333588114,45.84820059237056,0.972972972972973,36.0,0.3888888888888889,21.0,0.6111111111111112,33.0,0.02702702702702703,1.0,0.631578947368421,0.972972972972973,0.7659574468085106,0.5930567151217009,0.7957957957957958,0.6598183118306957,0.7582417582417582,0.1581196581196581,0.8418803418803419,0.24175824175824176,NaN,0.7582417582417582,NaN,NaN,0.8521447913189064,0.6689138013886003,NaN,0.7582417582417582,0.0,0.0,0.0,0.0,0.0,0.0,52628.0,171047.0,51257.0,94.50549450549451,24.35897435897435,'Number of leaves: 33\nSize of the tree: 37\n',37.0,33.0,33.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,71.0,20.0,0.0,78.02197802197803,21.978021978021978,0.0,0.6371610845295055,0.05606004042367923,0.1714206753516011,49.24253898143146,71.91854895923258,183.7199816946985,1160.8932693172533,-977.1732876225548,2.0189008977439395,12.75706889359619,-10.73816799585225,87.12974275195273,0.9574697005709092,47.42529470569123,1.0,37.0,0.37037037037037035,20.0,0.6296296296296297,34.0,0.0,0.0,0.6491228070175439,1.0,0.7872340425531915,0.6393019259838044,0.779029029029029,0.6137157281120128,0.7802197802197802,0.15059015059015057,0.8494098494098495,0.21978021978021978,NaN,0.7802197802197802,NaN,NaN,0.8491214752647234,0.6635387108712898,NaN,0.7802197802197802,0.015,0.0,0.0,0.0,0.0,0.0,41726.0,171047.0,51257.0,97.8021978021978,23.626373626373617,'Number of leaves: 9\nSize of the tree: 10\n',10.0,9.0,9.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,71.0,20.0,0.0,78.02197802197803,21.978021978021978,0.0,0.6371610845295055,0.055351941894883024,0.16748563126865768,48.620552819034515,70.26762406376454,183.7199816946985,1158.9833043180051,-975.2633226233066,2.0189008977439395,12.736080267230825,-10.717179369486885,89.03970775120106,0.9784583269362754,48.46490127522718,1.0,37.0,0.37037037037037035,20.0,0.6296296296296297,34.0,0.0,0.0,0.6491228070175439,1.0,0.7872340425531915,0.6393019259838044,0.8425925925925926,0.6872437662977403,0.7802197802197802,0.15059015059015057,0.8494098494098495,0.21978021978021978,NaN,0.7802197802197802,NaN,NaN,0.887286457019699,0.6883502254796333,NaN,0.7802197802197802,0.0,0.0,0.0,0.0,0.0,0.0,46590.0,171047.0,51257.0,97.8021978021978,23.992673992673986,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,818.0,90.0,71.0,19.0,0.0,78.88888888888889,21.11111111111111,0.0,0.6490147783251231,0.055353099253870656,0.1675775061464287,48.84481628127431,70.66989677698395,174.18128452967096,92.53955717354266,81.6417273561283,1.9353476058852328,1.028217301928252,0.9071303039569811,83.37043051369638,0.9263381168188486,47.86417251360586,1.0,37.0,0.3584905660377358,19.0,0.6415094339622641,34.0,0.0,0.0,0.6607142857142857,1.0,0.7956989247311829,0.6510410489664635,0.8505864354920959,0.7279619417100597,0.7888888888888889,0.14737945492662474,0.8526205450733753,0.2111111111111111,NaN,0.7888888888888889,NaN,NaN,0.8726546629642326,0.7011677833475651,NaN,0.7888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,46590.0,171212.0,51092.0,98.88888888888889,23.703703703703695,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,818.0,90.0,70.0,20.0,0.0,77.77777777777777,22.22222222222222,0.0,0.6303142329020333,0.0570711997188047,0.17293266673003968,50.38074472931591,72.96081448818634,173.56962895603783,2231.7575163963493,-2058.1878874403114,1.9285514328448647,24.797305737737215,-22.86875430489235,83.70214688674223,0.9300238542971359,48.22395910516265,1.0,37.0,0.37735849056603776,20.0,0.6226415094339622,33.0,0.0,0.0,0.6491228070175439,1.0,0.7872340425531915,0.6357442916530309,0.7814890362060173,0.6143700022956989,0.7777777777777778,0.15513626834381553,0.8448637316561844,0.2222222222222222,NaN,0.7777777777777778,NaN,NaN,0.8419745679263809,0.6555997952278962,NaN,0.7777777777777778,0.016,0.0,0.015625,0.0,15.625,0.0,46590.0,171212.0,51092.0,96.66666666666667,23.703703703703695,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,8,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,72.0,19.0,0.0,79.12087912087912,20.87912087912088,0.0,0.6530898876404494,0.05476542152522191,0.16852958474423105,48.362517181690535,71.13261511133683,175.60700549736939,2227.841785983071,-2052.234780485702,1.9297473131579053,24.481777867945837,-22.552030554787933,86.11897535515789,0.9463623665401966,49.0407402092213,1.0,37.0,0.35185185185185186,19.0,0.6481481481481481,35.0,0.0,0.0,0.6607142857142857,1.0,0.7956989247311829,0.654401054966097,0.8118118118118118,0.653571078842818,0.7912087912087912,0.14306064306064306,0.856939356939357,0.2087912087912088,NaN,0.7912087912087912,NaN,NaN,0.8604381625438887,0.6798319713080049,NaN,0.7912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,46590.0,171047.0,51257.0,96.7032967032967,22.98534798534799,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,8,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,72.0,19.0,0.0,79.12087912087912,20.87912087912088,0.0,0.6530898876404494,0.054552194707539754,0.1641615600213125,48.188322045339795,69.31212747869232,176.41038742301515,87.69447269049195,88.7159147325232,1.9385756859671994,0.96367552407134,0.9749001618958594,89.27066016330393,0.9809962655308124,50.60397035988672,1.0,37.0,0.35185185185185186,19.0,0.6481481481481481,35.0,0.0,0.0,0.6607142857142857,1.0,0.7956989247311829,0.654401054966097,0.8708708708708709,0.774210060500383,0.7912087912087912,0.14306064306064306,0.856939356939357,0.2087912087912088,NaN,0.7912087912087912,NaN,NaN,0.9025113762228549,0.7351899744911906,NaN,0.7912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,46590.0,171047.0,51257.0,98.9010989010989,23.626373626373606,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,8,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,72.0,19.0,0.0,79.12087912087912,20.87912087912088,0.0,0.6530898876404494,0.0542854269459649,0.16526775506803457,47.95267449944359,69.7791840300844,176.41038742301515,88.79667981748486,87.6137076055303,1.9385756859671994,0.9757876903020314,0.962787995665168,87.6137076055302,0.9627879956651669,49.66471015986204,1.0,37.0,0.35185185185185186,19.0,0.6481481481481481,35.0,0.0,0.0,0.6607142857142857,1.0,0.7956989247311829,0.654401054966097,0.8355855855855856,0.7011262269882959,0.7912087912087912,0.14306064306064306,0.856939356939357,0.2087912087912088,NaN,0.7912087912087912,NaN,NaN,0.8745066170663084,0.6964434262539119,NaN,0.7912087912087912,0.016,0.0,0.015625,0.0,15.625,0.0,46590.0,171047.0,51257.0,98.9010989010989,23.992673992673968,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,8,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.02012120709E7,817.0,91.0,70.0,21.0,0.0,76.92307692307692,23.076923076923077,0.0,0.6187911430281269,0.05803334269214831,0.1724941316943561,50.94225435598067,72.31525957375443,186.3915472890624,5440.982402899759,-5254.590855610697,2.048258761418268,59.79101541648087,-57.74275665506261,85.44516926802908,0.9389579040442756,45.84176187749425,1.0,37.0,0.3888888888888889,21.0,0.6111111111111112,33.0,0.0,0.0,0.6379310344827587,1.0,0.7789473684210527,0.624377084216757,0.835085085085085,0.6806200905338836,0.7692307692307693,0.1581196581196581,0.8418803418803419,0.23076923076923078,NaN,0.7692307692307693,NaN,NaN,0.8625655694514452,0.6733484785929095,NaN,0.7692307692307693,0.015,0.0,0.015625,0.0,15.625,0.0,46590.0,171047.0,51257.0,94.50549450549451,24.17582417582416,'Number of leaves: 20\nSize of the tree: 22\n',22.0,20.0,20.0
